gene_symbol,chem_id,chem_name,action_norm,action_family
ABCC1,MESH:C017947,sodium arsenite,affects^response to substance,other
ABCC1,MESH:C020300,monomethylarsonic acid,affects^expression,other
ABCC1,MESH:C041747,nitazoxanide,affects^response to substance,other
ABCC1,MESH:C045651,epigallocatechin gallate,affects^expression|affects^reaction,other
ABCC1,MESH:C063449,zileuton,affects^response to substance,other
ABCC1,MESH:C093875,montelukast,affects^response to substance,other
ABCC1,MESH:C120029,homocamptothecin,affects^response to substance,other
ABCC1,MESH:C543008,bisphenol S,affects^expression,other
ABCC1,MESH:D000077157,Sorafenib,affects^response to substance,other
ABCC1,MESH:D000077291,Terbinafine,affects^response to substance,other
ABCC1,MESH:D000966,Antimony Potassium Tartrate,affects^response to substance,other
ABCC1,MESH:D000966,Antimony Potassium Tartrate,affects^expression|affects^response to substance,other
ABCC1,MESH:D001151,Arsenic,affects^expression,other
ABCC1,MESH:D001151,Arsenic,affects^cotreatment|affects^expression,other
ABCC1,MESH:D002945,Cisplatin,affects^response to substance,other
ABCC1,MESH:D002945,Cisplatin,affects^reaction|affects^response to substance,other
ABCC1,MESH:D003520,Cyclophosphamide,affects^cotreatment|affects^response to substance,other
ABCC1,MESH:D003561,Cytarabine,affects^response to substance,other
ABCC1,MESH:D003630,Daunorubicin,affects^response to substance,other
ABCC1,MESH:D004317,Doxorubicin,affects^response to substance,other
ABCC1,MESH:D004317,Doxorubicin,affects^expression|affects^response to substance,other
ABCC1,MESH:D004317,Doxorubicin,affects^expression|affects^reaction,other
ABCC1,MESH:D004317,Doxorubicin,affects^activity|affects^response to substance,modifies
ABCC1,MESH:D005047,Etoposide,affects^response to substance,other
ABCC1,MESH:D005047,Etoposide,affects^expression|affects^response to substance,other
ABCC1,MESH:D005472,Fluorouracil,affects^cotreatment|affects^response to substance,other
ABCC1,MESH:D005492,Folic Acid,affects^expression,other
ABCC1,MESH:D005978,Glutathione,affects^activity|affects^binding|affects^folding,modifies
ABCC1,MESH:D006034,Glycyrrhetinic Acid,affects^activity|affects^response to substance,modifies
ABCC1,MESH:D007654,Ketoconazole,affects^response to substance,other
ABCC1,MESH:D008628,Mercury,affects^response to substance,other
ABCC1,MESH:D008628,Mercury,affects^abundance|affects^response to substance,modifies
ABCC1,MESH:D008727,Methotrexate,affects^response to substance,other
ABCC1,MESH:D008767,Methylmercury Compounds,affects^response to substance,other
ABCC1,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABCC1,MESH:D014635,Valproic Acid,affects^expression,other
ABCC1,MESH:D014747,Vinblastine,affects^response to substance,other
ABCC1,MESH:D014750,Vincristine,affects^response to substance,other
ABCC1,MESH:D014750,Vincristine,affects^expression|affects^response to substance,other
ABCC1,MESH:D015251,Epirubicin,affects^cotreatment|affects^response to substance,other
ABCC1,MESH:D019308,Palmitic Acid,affects^cotreatment|affects^expression,other
ABCC10,MESH:D002220,Carbamazepine,affects^expression,other
ABCC10,MESH:D014635,Valproic Acid,affects^expression,other
ABCC11,MESH:D000068437,Pemetrexed,affects^response to substance,other
ABCC11,MESH:D014635,Valproic Acid,affects^expression,other
ABCC12,MESH:D005437,Flucytosine,affects^response to substance,other
ABCC2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCC2,MESH:C006780,bisphenol A,affects^expression,other
ABCC2,MESH:C017947,sodium arsenite,affects^expression,other
ABCC2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCC2,MESH:C585473,"theaflavin-3,3'-digallate",affects^expression,other
ABCC2,MESH:D000077146,Irinotecan,affects^response to substance,other
ABCC2,MESH:D000077157,Sorafenib,affects^response to substance,other
ABCC2,MESH:D000077157,Sorafenib,affects^expression|affects^response to substance,other
ABCC2,MESH:D000077204,Temozolomide,affects^response to substance,other
ABCC2,MESH:D000077291,Terbinafine,affects^response to substance,other
ABCC2,MESH:D000393,Air Pollutants,affects^response to substance|increases^abundance,activates
ABCC2,MESH:D002220,Carbamazepine,affects^response to substance,other
ABCC2,MESH:D002330,Carmustine,affects^response to substance,other
ABCC2,MESH:D002945,Cisplatin,affects^response to substance,other
ABCC2,MESH:D003630,Daunorubicin,affects^response to substance,other
ABCC2,MESH:D005472,Fluorouracil,affects^response to substance,other
ABCC2,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCC2,MESH:D007654,Ketoconazole,affects^response to substance,other
ABCC2,MESH:D008628,Mercury,affects^abundance|affects^response to substance,modifies
ABCC2,MESH:D008727,Methotrexate,affects^response to substance,other
ABCC2,MESH:D008727,Methotrexate,affects^metabolic processing|affects^response to substance,modifies
ABCC2,MESH:D008767,Methylmercury Compounds,affects^response to substance,other
ABCC2,MESH:D009569,Nitric Oxide,affects^response to substance|increases^abundance,activates
ABCC2,MESH:D009585,Nitrogen Dioxide,affects^response to substance|increases^abundance,activates
ABCC2,MESH:D010634,Phenobarbital,affects^expression,other
ABCC2,MESH:D010672,Phenytoin,affects^response to substance,other
ABCC2,MESH:D013629,Tamoxifen,affects^response to substance,other
